Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.49,56,3.95,1.98
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",4.99,42,3.37,0.97
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,43,3.48,0.97
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",5.52,48,3.93,1.17
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.96,34,3.37,0.08
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.02,37,3.57,0.25
MILK,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",5.56,41,3.96,0.25
MILK,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.79,40,3.31,0.88
MILK,"MILK,LOW SODIUM,FLUID",4.46,61,3.1,3.46
MILK,"MILK,DRY,WHOLE",38.42,496,26.32,26.71
MILK,"MILK,DRY,NONFAT,REG,WO/ VIT A",51.98,362,36.16,0.77
MILK,"MILK,DRY,NONFAT,INST,W/ VIT A",52.19,358,35.1,0.72
MILK,"MILK,DRY,NONFAT,CA RED",51.8,354,35.5,0.2
MILK,"MILK,BUTTERMILK,DRIED",49.0,387,34.3,5.78
MILK,"MILK,CND,COND,SWTND",54.4,321,7.91,8.7
MILK,"MILK,CND,EVAP,WO/ VIT A",10.04,134,6.81,7.56
MILK,"MILK,CND,EVAP,NONFAT",11.35,78,7.55,0.2
MILK,"MILK,CHOC,FLUID,COMM,",10.34,83,3.17,3.39
MILK,"MILK,CHOC,FLUID,COMM,RED FAT",12.13,76,2.99,1.9
MILK,"MILK,CHOC,FLUID,COMM,LOWFAT",10.44,63,3.24,1.0
MILK,"MILK,CHOC BEV,HOT COCOA,HOMEMADE",10.63,77,3.52,2.33
MILK,"MILK,GOAT,FLUID",4.45,69,3.56,4.14
MILK,"MILK,HUMAN,MATURE,FLUID",6.89,70,1.03,4.38
MILK,"MILK,INDIAN BUFFALO,FLUID",5.18,97,3.75,6.89
MILK,"MILK,SHEEP,FLUID",5.36,108,5.98,7.0
MILK SHAKES,"MILK SHAKES,THICK CHOC",21.15,119,3.05,2.7
MILK SHAKES,"MILK SHAKES,THICK VANILLA",17.75,112,3.86,3.03
WHEY,"WHEY,ACID,FLUID",5.12,24,0.76,0.09
WHEY,"WHEY,ACID,DRIED",73.45,339,11.73,0.54
WHEY,"WHEY,SWEET,FLUID",5.14,27,0.85,0.36
WHEY,"WHEY,SWEET,DRIED",74.46,353,12.93,1.07
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,61,3.47,3.25
YOGURT,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.04,63,5.25,1.55
YOGURT,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.68,56,5.73,0.18
YOGURT,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.8,85,4.93,1.25
YOGURT,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.64,99,3.98,1.15
YOGURT,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.05,102,4.37,1.08
YOGURT,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",18.6,105,4.86,1.41
EGG,"EGG,WHOLE,RAW,FRESH",0.77,143,12.58,9.94
EGG,"EGG,WHITE,RAW,FRESH",0.73,48,10.9,0.17
EGG,"EGG,YOLK,RAW,FRSH",3.59,317,15.86,26.54
EGG,"EGG,YOLK,RAW,FROZEN",1.15,303,15.5,25.6
EGG,"EGG,YOLK,RAW,FRZ,SUGARED",10.8,307,13.8,22.75
EGG,"EGG,WHL,CKD,FRIED",0.88,196,13.63,15.31
EGG,"EGG,WHL,CKD,HARD-BOILED",1.12,155,12.58,10.61
EGG,"EGG,WHOLE,COOKED,OMELET",0.68,157,10.59,12.03
EGG,"EGG,WHL,CKD,POACHED",0.76,142,12.53,9.9
EGG,"EGG,WHL,CKD,SCRMBLD",2.2,167,11.09,12.21
EGG,"EGG,WHOLE,DRIED",4.95,594,47.35,40.95
EGG,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",2.38,615,48.17,43.95
EGG,"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.17,351,76.92,0.04
EGG,"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.47,376,82.4,0.04
EGG,"EGG,YOLK,DRIED",3.6,666,34.25,55.8
EGG,"EGG,DUCK,WHOLE,FRESH,RAW",1.45,185,12.81,13.77
EGG,"EGG,GOOSE,WHOLE,FRESH,RAW",1.35,185,13.87,13.27
EGG,"EGG,QUAIL,WHOLE,FRESH,RAW",0.41,158,13.05,11.09
EGG,"EGG,TURKEY,WHL,FRSH,RAW",1.15,171,13.68,11.88
EGG SUBSTITUTE,"EGG SUBSTITUTE,FROZEN",3.2,160,11.29,11.11
EGG SUBSTITUTE,"EGG SUBSTITUTE,LIQUID",0.64,84,12.0,3.31
EGG SUBSTITUTE,"EGG SUBSTITUTE,POWDER",21.8,444,55.5,13.0
BUTTER,"BUTTER,WITHOUT SALT",0.06,717,0.85,81.11
CHEESE,"CHEESE,PARMESAN,SHREDDED",3.41,415,37.86,27.34
CHEESE,"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",1.6,375,22.15,31.25
