Category,Description,Data.Carbohydrate,Data.Kilocalories,Data.Protein,Data.Fat.Total Lipid
OSCAR MAYER,"OSCAR MAYER,OLD FASHIONED LOAF",8.0,231,13.1,16.3
OSCAR MAYER,"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",6.9,263,9.9,21.8
OSCAR MAYER,"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",9.1,269,9.6,21.6
OSCAR MAYER,"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",1.0,343,16.3,30.5
OSCAR MAYER,"OSCAR MAYER,SALAMI BF COTTO",1.9,206,14.2,15.7
OSCAR MAYER,"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",2.2,245,13.4,20.3
OSCAR MAYER,"OSCAR MAYER,SALAMI (FOR BEER)",1.9,225,13.5,18.2
OSCAR MAYER,"OSCAR MAYER,SALAMI (GENOA)",1.2,388,20.7,33.3
OSCAR MAYER,"OSCAR MAYER,SALAMI (HARD)",1.6,368,25.9,28.7
OSCAR MAYER,"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",15.4,237,6.5,16.6
OSCAR MAYER,"OSCAR MAYER,SMOKIE LINKS SAUSAGE",1.7,302,12.4,27.3
No Category,OSCAR MAYER  SMOKIES (BEEF),1.95,296,12.25,26.65
OSCAR MAYER,"OSCAR MAYER,SMOKIES (CHS)",1.8,303,12.9,27.1
OSCAR MAYER,"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",1.8,301,12.4,27.1
OSCAR MAYER,"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",1.7,315,13.5,28.2
OSCAR MAYER,"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",1.9,309,14.6,27.0
OSCAR MAYER,"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",0.9,304,14.9,26.7
OSCAR MAYER,"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",3.6,80,14.9,0.6
OSCAR MAYER,"OSCAR MAYER,WIENERS (PORK,TURKEY)",2.7,327,10.95,29.9
OSCAR MAYER,"OSCAR MAYER,WIENERS (BEEF FRANKS)",2.35,327,11.35,30.26
No Category,OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),2.65,324,11.1,30.1
OSCAR MAYER,"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",5.1,78,13.2,0.5
OSCAR MAYER,"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",4.1,193,10.7,14.9
OSCAR MAYER,"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",2.8,318,12.0,28.7
OSCAR MAYER,"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",4.3,73,12.6,0.6
OSCAR MAYER,"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",2.8,194,12.1,14.9
OSCAR MAYER,"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",2.3,311,10.9,28.7
LOUIS RICH,"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",3.7,98,19.7,0.5
LOUIS RICH,"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",2.5,101,18.3,2.0
LOUIS RICH,"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",2.3,128,17.0,5.6
LOUIS RICH,"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",5.1,201,12.7,14.5
LOUIS RICH,"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",5.3,188,11.2,13.5
No Category,LOUIS RICH  TURKEY BACON,1.7,250,15.1,20.3
LOUIS RICH,"LOUIS RICH,TURKEY BOLOGNA",4.85,184,11.3,13.2
LOUIS RICH,"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",3.25,99,17.1,2.0
LOUIS RICH,"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",2.4,100,17.6,2.3
LOUIS RICH,"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",4.5,102,19.3,0.8
LOUIS RICH,"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",4.5,84,15.0,0.7
LOUIS RICH,"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",1.9,90,19.1,0.7
LOUIS RICH,"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",1.6,94,19.7,1.0
LOUIS RICH,"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",2.2,93,19.3,0.8
LOUIS RICH,"LOUIS RICH,TURKEY HAM (10% H2O)",0.9,113,18.2,4.1
LOUIS RICH,"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",15.4,276,14.3,17.5
LOUIS RICH,"LOUIS RICH,TURKEY SALAMI",0.4,147,15.3,9.4
LOUIS RICH,"LOUIS RICH,TURKEY SALAMI COTTO",0.9,149,15.0,9.5
LOUIS RICH,"LOUIS RICH,TURKEY SMOKED SAUSAGE",3.15,161,14.8,9.9
BUTCHER BOY MEATS,"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",4.66,239,13.45,18.17
CARL BUDDIG,"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",1.0,142,19.3,6.8
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",0.7,165,17.9,10.1
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED BF",0.6,139,19.3,6.5
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",1.8,160,17.5,9.1
CARL BUDDIG. CKD SMOKED BF PASTRAMI,"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",1.0,141,19.6,6.5
CARL BUDDIG,"CARL BUDDIG,SMOKED SLICED HAM",1.1,163,18.5,9.3
No Category,HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,3.03,310,13.24,27.24
HORMEL SPAM,"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",1.35,191,15.23,13.9
No Category,HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,3.78,243,30.99,11.52
No Category,HORMEL WRANGLER BEEF FRANKS,2.11,290,12.58,25.69
TURKEY,"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",11.5,101,8.0,2.5
USDA COMMODITY,"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",0.0,267,19.76,20.26
FRANKFURTER,"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",11.21,109,12.5,1.59
LUNCHEON MEAT,"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",3.4,293,12.5,25.1
USDA COMMODITY,"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",0.0,231,14.95,18.56
LUNCHEON MEAT,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",4.6,315,13.4,26.6
LUNCHEON MEAT,"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",1.35,196,15.23,13.9
No Category,BRATWURST  VEAL  CKD,0.0,341,13.99,31.7
No Category,LIVERWURST SPRD,5.89,305,12.38,25.45
No Category,ROAST BF SPRD,3.73,223,15.27,16.28
No Category,SALAMI  PORK  BF  LESS NA,15.38,396,15.01,30.5
No Category,SAUSAGE  ITALIAN  SWT  LINKS,2.1,149,16.13,8.42
No Category,SAUSAGE  POLISH  BF W/ CHICK  HOT,3.6,259,17.6,19.4
No Category,SAUSAGE  POLISH  PORK & BF  SMOKED,1.98,301,12.07,26.56
No Category,SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,2.13,296,12.89,25.84
No Category,SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,1.82,426,19.43,37.91
No Category,SAUSAGE  TURKEY  BRKFST LINKS  MILD,1.56,231,15.42,18.09
No Category,SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,1.6,307,12.69,27.37
No Category,BACON & BF STKS,0.8,517,29.1,44.2
No Category,BRATWURST  BF & PORK  SMOKED,2.0,297,12.2,26.34
BRATWURST,"BRATWURST,CHICK,CKD",0.0,176,19.44,10.35
No Category,BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,1.62,186,14.45,13.53
No Category,PASTRAMI  BF  98% FAT-FREE,1.54,95,19.6,1.16
No Category,SALAMI  ITALIAN  PORK,1.2,425,21.7,37.0
No Category,SAUSAGE  ITALIAN  TURKEY  SMOKED,4.65,158,15.05,8.75
No Category,SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,8.1,216,13.6,14.3
No Category,SAUSAGE  TURKEY  HOT  SMOKED,4.65,158,15.05,8.75
YACHTWURST,"YACHTWURST,W/ PISTACHIO NUTS,CKD",1.4,268,14.8,22.6
No Category,BEERWURST  PORK & BF,4.27,276,14.0,22.53
No Category,CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,2.25,80,16.8,0.39
No Category,CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,2.17,79,16.79,0.39
KIELBASA,"KIELBASA,POLISH,TURKEY & BF,SMOKED",3.9,226,13.1,17.6
No Category,OVEN-ROASTED CHICK BREAST ROLL,1.79,134,14.59,7.65
No Category,BOLOGNA  PORK & TURKEY  LITE,3.45,211,13.06,16.06
No Category,BOLOGNA  PORK  TURKEY & BF,6.66,336,11.56,29.25
No Category,HAM  HONEY  SMOKED  CKD,7.27,122,17.93,2.37
FRANKFURTER,"FRANKFURTER,PORK",0.28,269,12.81,23.68
No Category,MACARONI & CHS LOAF  CHICK  PORK & BF,11.63,228,11.76,14.96
No Category,SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,6.4,350,21.8,26.4
No Category,PATE  TRUFFLE FLAVOR,6.3,327,11.2,28.5
TURKEY,"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",1.31,95,20.9,0.69
No Category,TURKEY  WHITE  ROTISSERIE  DELI CUT,7.7,112,13.5,3.0
No Category,FRANKFURTER  BF  HTD,3.77,326,11.54,29.46
No Category,FRANKFURTER  MEAT  HTD,4.9,278,9.77,24.31
No Category,FRANKFURTER  MEAT,4.17,290,10.26,25.76
SCRAPPLE,"SCRAPPLE,PORK",14.06,213,8.06,13.87
BOLOGNA,"BOLOGNA,CHICK,TURKEY,PORK",5.65,298,9.88,26.18
PORK SAUSAGE,"PORK SAUSAGE,PRE-COOKED",0.0,378,14.49,35.04
BEEF SAUSAGE,"BEEF SAUSAGE,PRE-COOKED",0.03,405,15.5,37.57
TURKEY SAUSAGE,"TURKEY SAUSAGE,FRSH,RAW",0.47,155,18.79,8.08
BEEF SAUSAGE,"BEEF SAUSAGE,FRSH,CKD",0.35,332,18.21,27.98
PORK & TURKEY SAUSAGE,"PORK & TURKEY SAUSAGE,PRE-COOKED",3.63,342,12.05,30.64
TURKEY SAUSAGE,"TURKEY SAUSAGE,FRSH,CKD",0.0,196,23.89,10.44
BOLOGNA,"BOLOGNA,CHICK,PORK,BF",5.61,272,11.33,22.73
BOLOGNA,"BOLOGNA,CHICK,PORK",4.19,336,10.31,30.61
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",74.24,260,13.14,4.9
CEREALS RTE,"CEREALS RTE,OATS,CORN PUFFED MIXTURE,PRESWEETENED",83.5,405,8.5,4.1
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",90.04,390,4.22,1.35
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",80.0,250,7.0,2.15
CEREALS RTE,"CEREALS RTE,QUAKER,CAP'N CRUNCH",84.78,402,4.37,5.89
CEREALS RTE,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",85.19,402,4.41,5.64
CEREALS RTE,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",78.72,416,7.1,9.16
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CHEERIOS",74.68,367,11.33,5.9
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",86.05,381,5.22,2.9
CEREALS RTE,"CEREALS RTE,RICE,PUFFED,PRESWEETENED,W/ COCOA,SINGLE BRAND",87.9,398,3.5,4.2
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",86.67,400,3.33,5.0
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",84.11,333,6.4,4.07
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CORN CHEX",85.06,367,6.67,1.67
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",87.11,361,6.61,0.59
CEREALS RTE,"CEREALS RTE,CORN FLAKES,LO NA",88.8,399,7.7,0.3
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",71.8,402,8.0,13.9
CEREALS RTE,"CEREALS RTE,RALSTON CRISPY RICE",86.22,364,6.69,1.26
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEATIES RAISIN BRAN",81.0,333,7.0,1.7
CEREALS RTE,"CEREALS RTE,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",79.0,318,10.0,2.0
CEREALS RTE,"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",80.4,320,9.4,2.2
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",87.5,393,3.4,4.1
CEREALS RTE,"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,ORIGINAL",82.0,343,9.0,1.6
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",89.0,384,5.0,0.9
CEREALS RTE,"CEREALS RTE,RICE,PUFFED,PRESWEETENED,FRUIT FLAV,SINGLE BRAND",87.9,401,3.6,3.9
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",86.53,400,3.33,3.33
CEREALS RTE,"CEREALS RTE,GRANOLA,HOMEMADE",53.25,489,14.85,24.06
CEREALS RTE,"CEREALS RTE,KRAFT,POST GRAPE-NUTS CRL",80.1,359,12.48,1.85
CEREALS RTE,"CEREALS RTE,WHEAT&MALT BARLEY FLAKES",81.5,365,10.0,2.9
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",77.33,393,10.71,5.36
CEREALS RTE,"CEREALS RTE,CORN&OAT FLOURS,PUFFED PRESWEETENED,SINGLE BRAND",88.9,395,5.2,2.1
CEREALS RTE,"CEREALS RTE,QUAKER,KING VITAMAN",85.0,386,6.54,3.47
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,KIX",82.82,367,7.69,3.46
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",77.81,373,9.89,4.39
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",82.9,407,7.02,3.63
CEREALS RTE,"CEREALS RTE,BRAN,MALTED FLR,SINGLE BRAND",78.2,287,12.7,2.1
CEREALS RTE,"CEREALS RTE,QUAKER,100% NAT GRANOLA OATS & HONEY",72.64,429,10.38,12.86
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",86.0,400,6.67,1.67
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",83.0,333,7.7,1.4
CEREALS RTE,"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",85.03,405,4.5,6.07
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",77.36,322,8.59,2.19
CEREALS RTE,"CEREALS RTE,KRAFT,POST RAISIN BRAN CRL",76.84,317,9.33,2.5
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,RICE CHEX",85.42,382,6.45,1.61
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",85.24,387,6.84,0.96
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",87.77,383,7.0,0.9
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",71.0,379,22.5,1.55
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",90.0,378,3.7,0.75
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",90.86,367,4.34,0.26
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",89.0,387,6.4,1.85
CEREALS RTE,"CEREALS RTE,WHEAT,PUFFED,PRESWEETENED,SINGLE BRAND",90.9,398,5.5,1.4
CEREALS RTE,"CEREALS RTE,RALSTON TASTEEOS",74.22,398,11.83,5.97
CEREALS RTE,"CEREALS RTE,CORN FLAKES,PLN,SINGLE BRAND",86.7,360,6.7,0.1
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",77.18,333,6.67,1.67
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TRIX",86.67,400,3.33,5.0
CEREALS RTE,"CEREALS RTE,WAFFELOS",86.3,405,5.6,4.2
CEREALS RTE,"CEREALS RTE,WHL WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",81.22,385,9.82,3.77
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",81.09,360,10.0,2.0
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",93.7,394,4.0,0.34
CEREALS RTE,"CEREALS RTE,WHEAT GERM,TSTD,PLN",49.6,382,29.1,10.7
CEREALS RTE,"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",58.11,372,26.55,7.78
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",77.55,438,6.25,10.94
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",83.34,379,6.9,3.45
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TEAM CHEERIOS",82.88,370,7.41,3.7
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,WHEATIES",80.77,367,10.0,3.33
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",79.6,371,8.8,1.2
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",78.82,342,8.43,0.97
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP W/H2O",15.06,68,1.61,0.19
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",73.08,366,8.37,5.97
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,PREP W/H2O",14.01,72,1.6,1.1
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",77.35,349,9.85,1.65
CEREALS,"CEREALS,QUAKER,CRNGRIT,INST,CNTRYBCN(IMTATN BCN BIT)PRPW/H2O",14.61,69,1.92,0.33
CEREALS,"CEREALS,CRM OF RICE,DRY",82.4,370,6.3,0.5
CEREALS,"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",11.4,52,0.9,0.1
CEREALS,"CEREALS,CREAM OF WHEAT,REG,DRY",76.5,370,10.5,1.5
CEREALS,"CEREALS,CREAM OF WHEAT,REG,CKD W/ H2O,WO/ SALT",11.0,52,1.51,0.22
CEREALS,"CEREALS,CREAM OF WHEAT,QUICK,DRY",75.0,361,10.2,1.3
CEREALS,"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,WO/ SALT",11.2,54,1.5,0.2
CEREALS,"CEREALS,CREAM OF WHEAT,INST,DRY",75.5,366,10.6,1.4
CEREALS,"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",13.08,62,1.84,0.24
CEREALS,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",75.6,361,9.7,1.2
CEREALS,"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",15.1,72,1.9,0.2
CEREALS,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",81.6,373,6.9,1.1
CEREALS,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",19.3,88,1.6,0.3
CEREALS,"CEREALS,FARINA,ENR,DRY",78.0,369,10.6,0.5
CEREALS,"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",10.47,48,1.42,0.07
CEREALS,"CEREALS,MALTEX,DRY",77.3,352,11.2,2.1
CEREALS,"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",15.81,76,2.29,0.43
CEREALS,"CEREALS,MALT-O-MEAL,PLN,DRY",75.6,361,11.8,1.27
CEREALS,"CEREALS,MAYPO,DRY",72.0,385,13.2,5.3
CEREALS,"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",13.3,71,2.4,1.0
CEREALS,"CEREALS,OATS,REG & QUICK & INST,NOT FORT,DRY",67.7,379,13.15,6.52
CEREALS,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,WO/ SALT",12.0,71,2.54,1.52
CEREALS,"CEREALS,OATS,INST,FORT,PLN,DRY",67.55,375,12.72,6.25
CEREALS,"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",11.67,68,2.37,1.36
CEREALS,"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",77.92,365,8.0,4.39
CEREALS,"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,PREP W/ BOILING H2O",17.77,87,1.82,1.0
CEREALS,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",76.97,370,8.59,4.67
CEREALS,"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",21.52,107,2.4,1.31
CEREALS,"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",75.28,366,8.93,4.83
CEREALS,"CEREALS,QUAKER,INST OAT, MAPLE & BR SUGAR,PREP W/ BOIL H2O",20.04,101,2.38,1.29
CEREALS,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",76.31,360,7.76,4.27
CEREALS,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",20.32,100,2.07,1.14
CEREALS,"CEREALS,RALSTON,DRY",72.1,341,14.1,2.1
CEREALS,"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",11.2,53,2.2,0.3
CEREALS,"CEREALS,ROMAN MEAL,PLN,DRY",72.0,322,14.4,2.2
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",13.7,61,2.7,0.4
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",83.3,394,7.2,3.6
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",86.0,378,5.0,2.8
CEREALS RTE,"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",81.9,415,4.8,8.8
CEREALS,"CEREALS,WHEATENA,DRY",75.6,357,13.1,2.9
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O",11.8,56,2.0,0.5
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,DRY",75.2,342,11.2,2.0
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",13.7,62,2.0,0.4
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",76.39,366,16.26,2.15
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",78.76,337,11.37,2.21
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",83.0,340,10.3,1.1
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",14.2,71,3.0,0.8
CEREALS RTE,"CEREALS RTE,RICE,PUFFED,FORT",89.8,402,6.3,0.5
CEREALS RTE,"CEREALS RTE,WHEAT,PUFFED,FORT",79.6,364,14.7,1.2
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",79.6,371,8.8,1.2
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",79.6,371,8.8,1.2
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",79.6,371,8.8,1.2
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",13.0,60,1.4,0.2
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",12.87,59,1.42,0.19
CEREALS,"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",11.5,52,0.9,0.1
CEREALS,"CEREALS,CRM OF WHEAT,REG,CKD W/ H2O,W/ SALT,(WHEAT)",11.0,52,1.51,0.22
CEREALS,"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,W/ SALT",11.2,54,1.5,0.2
CEREALS,"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",13.08,62,1.84,0.24
CEREALS,"CEREALS,FARINA,UNENR,DRY",78.0,369,10.6,0.5
CEREALS,"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",10.47,48,1.42,0.07
CEREALS,"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",15.81,76,2.29,0.43
CEREALS,"CEREALS,MALT-O-MEAL,CHOC,DRY",79.9,374,10.6,1.31
CEREALS,"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",13.23,71,2.43,0.97
CEREALS,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",12.0,71,2.54,1.52
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",13.7,61,2.7,0.4
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",11.74,59,2.03,0.45
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",13.7,62,2.0,0.4
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",14.2,71,3.0,0.8
CEREALS,"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",11.2,53,2.2,0.3
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",81.5,387,8.0,5.2
