Продукт,"Белки, г","Жиры, г","Углеводы, г","Калорийность, Ккал",Цена за 100гр
"Творог жирный 18,0% жирности",21.0,5.0,3.0,145,47.68
"Творог мягкий диетический 11,0% жирности",15.0,18.0,2.8,236,47.68
"Творог мягкий диетический, плодово-ягодный, 4,0% жирности",16.0,11.0,3.0,178,47.68
«Армавирская» полукопченая колбаса,25.0,28.0,1.0,357,70.21
«Брауншвейгская» сырокопченая колбаса,15.1,40.1,0.3,423,130.15
«Говяжья» вареная колбаса,27.7,42.2,0.2,491,56.18
«Диетическая» вареная колбаса,15.0,11.7,0.2,165,56.18
«Докторская» вареная колбаса,12.1,13.5,0.0,170,56.18
«Дорожная» сырокопченая колбаса,12.8,22.2,1.5,257,130.15
«Зеленоградская» с мясом утки вареная колбаса,17.0,47.7,0.4,498,56.18
«Зернистая» сырокопченая колбаса,17.2,12.1,2.2,187,130.15
«Любительская» вареная колбаса,9.9,62.8,0.3,606,56.18
«Любительская» варено-копченая колбаса,12.2,28.0,0.1,301,70.21
«Молочная» вареная колбаса,17.2,39.0,0.2,420,56.18
«Московская» варено-копченая колбаса,11.0,23.9,0.4,261,70.21
«Одесская» полукопченая колбаса,19.1,36.6,0.2,406,70.21
«Олимпийская» сырокопченая колбаса,14.8,38.1,0.3,402,130.15
«Отдельная» вареная колбаса,21.1,39.1,0.4,436,56.18
«Подмосковная» с куриным мясом вареная колбаса,25.3,40.0,0.3,463,56.18
«Русская» вареная колбаса,17.2,11.6,1.7,180,56.18
«Свиная» вареная колбаса,11.3,22.0,1.7,250,56.18
«Свиная» сырокопченая колбаса,10.8,25.8,0.5,277,130.15
«Сервелат» сырокопченая колбаса,13.0,57.0,0.2,566,130.15
«Столовая» вареная колбаса,12.2,20.3,0.5,234,56.18
«Таллинская» полукопченая колбаса,11.1,20.2,1.8,234,70.21
«Телячья» вареная колбаса,17.1,33.8,0.2,373,56.18
«Чайная» вареная колбаса,13.2,28.3,0.3,308,56.18
Баранина жареная по 1-396,29.6,11.2,0.0,220,81.36
Баранина отварная по 1-392,22.4,19.4,0.0,264,81.36
Баранина тушеная по 1-422,21.8,17.4,0.0,244,81.36
"Баранина 1 кат,",10.3,12.7,3.6,170,81.36
"Баранина 2 кат,",15.6,16.3,0.0,209,81.36
Баранина сырая,19.8,9.6,0.0,166,81.36
Белое мясо индейки сырое,24.9,15.4,0.0,245,56.26
Вареная колбаса «Для завтрака»,7.6,3.7,14.2,122,56.18
Говядина жареная,13.2,7.0,13.8,173,64.79
Говядина отварная,28.4,6.0,0.0,168,64.79
Говядина тушеная,25.8,16.8,0.0,254,64.79
"Говядина 1 кат,",13.6,5.4,3.3,116,64.79
"Говядина 2 кат,",18.6,16.0,0.0,218,64.79
Грудинка свинины сырокопченая,10.0,52.7,0.0,514,130.15
Диабетическая вареная колбаса,17.0,27.7,0.0,317,56.18
Духовая говядина,12.1,22.8,0.0,254,64.79
Корейка свинины сырокопченая,10.2,48.2,0.0,475,38.923
Красное мясо индейки сырое,13.6,45.7,0.0,466,56.26
